Date : 2020-07-24 14:14:19
Directory : /home/aya/Projects/bitcoin/src
Total : 1157 files,  351989 codes, 30370 comments, 31099 blanks, all 413458 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /home/aya/Projects/bitcoin/src/univalue/test/object.cpp                       | C++                     |        318 |          7 |         84 |        409 |
| /home/aya/Projects/bitcoin/src/univalue/test/pass1.json                       | JSON                    |         55 |          0 |          3 |         58 |
| /home/aya/Projects/bitcoin/src/univalue/test/pass2.json                       | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/pass3.json                       | JSON                    |          6 |          0 |          1 |          7 |
| /home/aya/Projects/bitcoin/src/univalue/test/pass4.json                       | JSON                    |          1 |          0 |          1 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/round1.json                      | JSON                    |          1 |          0 |          1 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/round2.json                      | JSON                    |          1 |          0 |          1 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/round3.json                      | JSON                    |          1 |          0 |          1 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/round4.json                      | JSON                    |          1 |          0 |          1 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/round5.json                      | JSON                    |          1 |          0 |          1 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/round6.json                      | JSON                    |          1 |          0 |          1 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/round7.json                      | JSON                    |          1 |          0 |          1 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/test_json.cpp                    | C++                     |         16 |          5 |          4 |         25 |
| /home/aya/Projects/bitcoin/src/univalue/test/unitester.cpp                    | C++                     |        139 |          9 |         24 |        172 |
| /home/aya/Projects/bitcoin/src/util/asmap.cpp                                 | C++                     |        168 |          5 |         15 |        188 |
| /home/aya/Projects/bitcoin/src/util/asmap.h                                   | C++                     |          7 |          3 |          6 |         16 |
| /home/aya/Projects/bitcoin/src/util/bip32.cpp                                 | C++                     |         53 |          6 |          8 |         67 |
| /home/aya/Projects/bitcoin/src/util/bip32.h                                   | C++                     |          9 |          5 |          6 |         20 |
| /home/aya/Projects/bitcoin/src/util/bytevectorhash.cpp                        | C++                     |         12 |          3 |          4 |         19 |
| /home/aya/Projects/bitcoin/src/util/bytevectorhash.h                          | C++                     |         13 |          8 |          6 |         27 |
| /home/aya/Projects/bitcoin/src/util/check.h                                   | C++                     |         33 |         16 |         11 |         60 |
| /home/aya/Projects/bitcoin/src/util/error.cpp                                 | C++                     |         42 |          4 |          7 |         53 |
| /home/aya/Projects/bitcoin/src/util/error.h                                   | C++                     |         21 |         12 |         11 |         44 |
| /home/aya/Projects/bitcoin/src/util/fees.cpp                                  | C++                     |         51 |          4 |         10 |         65 |
| /home/aya/Projects/bitcoin/src/util/fees.h                                    | C++                     |          9 |          4 |          5 |         18 |
| /home/aya/Projects/bitcoin/src/util/golombrice.h                              | C++                     |         27 |          7 |         10 |         44 |
| /home/aya/Projects/bitcoin/src/util/macros.h                                  | C++                     |          5 |          3 |          4 |         12 |
| /home/aya/Projects/bitcoin/src/util/memory.h                                  | C++                     |         10 |          5 |          5 |         20 |
| /home/aya/Projects/bitcoin/src/util/message.cpp                               | C++                     |         67 |          9 |         17 |         93 |
| /home/aya/Projects/bitcoin/src/util/message.h                                 | C++                     |         30 |         30 |         17 |         77 |
| /home/aya/Projects/bitcoin/src/util/moneystr.cpp                              | C++                     |         62 |          7 |         10 |         79 |
| /home/aya/Projects/bitcoin/src/util/moneystr.h                                | C++                     |          8 |         11 |          6 |         25 |
| /home/aya/Projects/bitcoin/src/util/rbf.cpp                                   | C++                     |         11 |          3 |          4 |         18 |
| /home/aya/Projects/bitcoin/src/util/rbf.h                                     | C++                     |          7 |          5 |          7 |         19 |
| /home/aya/Projects/bitcoin/src/util/ref.h                                     | C++                     |         20 |         10 |          9 |         39 |
| /home/aya/Projects/bitcoin/src/util/settings.cpp                              | C++                     |        107 |         44 |         25 |        176 |
| /home/aya/Projects/bitcoin/src/util/settings.h                                | C++                     |         44 |         36 |         15 |         95 |
| /home/aya/Projects/bitcoin/src/util/spanparsing.cpp                           | C++                     |         55 |          3 |         10 |         68 |
| /home/aya/Projects/bitcoin/src/util/spanparsing.h                             | C++                     |         12 |         28 |         11 |         51 |
| /home/aya/Projects/bitcoin/src/util/strencodings.cpp                          | C++                     |        484 |         32 |         56 |        572 |
| /home/aya/Projects/bitcoin/src/util/strencodings.h                            | C++                     |        110 |        123 |         27 |        260 |
| /home/aya/Projects/bitcoin/src/util/string.cpp                                | C++                     |          1 |          3 |          2 |          6 |
| /home/aya/Projects/bitcoin/src/util/string.h                                  | C++                     |         50 |         17 |         11 |         78 |
| /home/aya/Projects/bitcoin/src/util/system.cpp                                | C++                     |        924 |        135 |        139 |      1,198 |
| /home/aya/Projects/bitcoin/src/util/system.h                                  | C++                     |        211 |        174 |         63 |        448 |
| /home/aya/Projects/bitcoin/src/util/threadnames.cpp                           | C++                     |         42 |         12 |         13 |         67 |
| /home/aya/Projects/bitcoin/src/util/threadnames.h                             | C++                     |          9 |         10 |          8 |         27 |
| /home/aya/Projects/bitcoin/src/util/time.cpp                                  | C++                     |         94 |          4 |         19 |        117 |
| /home/aya/Projects/bitcoin/src/util/time.h                                    | C++                     |         20 |         28 |         11 |         59 |
| /home/aya/Projects/bitcoin/src/util/translation.h                             | C++                     |         37 |         14 |         12 |         63 |
| /home/aya/Projects/bitcoin/src/util/ui_change_type.h                          | C++                     |          8 |          4 |          4 |         16 |
| /home/aya/Projects/bitcoin/src/util/url.cpp                                   | C++                     |         15 |          3 |          4 |         22 |
| /home/aya/Projects/bitcoin/src/util/url.h                                     | C++                     |          7 |          3 |          5 |         15 |
