Date : 2020-07-24 14:14:19
Directory : /home/aya/Projects/bitcoin/src
Total : 1157 files,  351989 codes, 30370 comments, 31099 blanks, all 413458 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /home/aya/Projects/bitcoin/src/node/context.h                                 | C++                     |         30 |         16 |          7 |         53 |
| /home/aya/Projects/bitcoin/src/node/psbt.cpp                                  | C++                     |        109 |         15 |         24 |        148 |
| /home/aya/Projects/bitcoin/src/node/psbt.h                                    | C++                     |         31 |         15 |          9 |         55 |
| /home/aya/Projects/bitcoin/src/node/transaction.cpp                           | C++                     |         53 |         25 |         12 |         90 |
| /home/aya/Projects/bitcoin/src/node/transaction.h                             | C++                     |         10 |         25 |          7 |         42 |
| /home/aya/Projects/bitcoin/src/node/ui_interface.cpp                          | C++                     |         52 |          3 |         11 |         66 |
| /home/aya/Projects/bitcoin/src/node/ui_interface.h                            | C++                     |         62 |         35 |         25 |        122 |
| /home/aya/Projects/bitcoin/src/node/utxo_snapshot.h                           | C++                     |         21 |         12 |          9 |         42 |
| /home/aya/Projects/bitcoin/src/noui.cpp                                       | C++                     |         78 |          5 |         17 |        100 |
| /home/aya/Projects/bitcoin/src/noui.h                                         | C++                     |         11 |          9 |          9 |         29 |
| /home/aya/Projects/bitcoin/src/optional.h                                     | C++                     |         13 |          6 |          8 |         27 |
| /home/aya/Projects/bitcoin/src/outputtype.cpp                                 | C++                     |         87 |          8 |         11 |        106 |
| /home/aya/Projects/bitcoin/src/outputtype.h                                   | C++                     |         20 |         14 |         11 |         45 |
| /home/aya/Projects/bitcoin/src/policy/feerate.cpp                             | C++                     |         31 |          4 |         10 |         45 |
| /home/aya/Projects/bitcoin/src/policy/feerate.h                               | C++                     |         38 |         17 |         10 |         65 |
| /home/aya/Projects/bitcoin/src/policy/fees.cpp                                | C++                     |        691 |        166 |        122 |        979 |
| /home/aya/Projects/bitcoin/src/policy/fees.h                                  | C++                     |        131 |        113 |         41 |        285 |
| /home/aya/Projects/bitcoin/src/policy/policy.cpp                              | C++                     |        158 |         59 |         35 |        252 |
| /home/aya/Projects/bitcoin/src/policy/policy.h                                | C++                     |         60 |         44 |         15 |        119 |
| /home/aya/Projects/bitcoin/src/policy/rbf.cpp                                 | C++                     |         23 |          8 |          8 |         39 |
| /home/aya/Projects/bitcoin/src/policy/rbf.h                                   | C++                     |         10 |          7 |          6 |         23 |
| /home/aya/Projects/bitcoin/src/policy/settings.cpp                            | C++                     |          7 |          4 |          4 |         15 |
| /home/aya/Projects/bitcoin/src/policy/settings.h                              | C++                     |         22 |          5 |          9 |         36 |
| /home/aya/Projects/bitcoin/src/pow.cpp                                        | C++                     |         61 |         14 |         17 |         92 |
| /home/aya/Projects/bitcoin/src/pow.h                                          | C++                     |         11 |          5 |          8 |         24 |
| /home/aya/Projects/bitcoin/src/prevector.h                                    | C++                     |        447 |         32 |         59 |        538 |
| /home/aya/Projects/bitcoin/src/primitives/block.cpp                           | C++                     |         21 |          4 |          8 |         33 |
| /home/aya/Projects/bitcoin/src/primitives/block.h                             | C++                     |         77 |         18 |         26 |        121 |
| /home/aya/Projects/bitcoin/src/primitives/transaction.cpp                     | C++                     |         95 |          5 |         22 |        122 |
| /home/aya/Projects/bitcoin/src/primitives/transaction.h                       | C++                     |        203 |         83 |         79 |        365 |
| /home/aya/Projects/bitcoin/src/protocol.cpp                                   | C++                     |        192 |         18 |         30 |        240 |
| /home/aya/Projects/bitcoin/src/protocol.h                                     | C++                     |        133 |        259 |         33 |        425 |
| /home/aya/Projects/bitcoin/src/psbt.cpp                                       | C++                     |        297 |         30 |         49 |        376 |
| /home/aya/Projects/bitcoin/src/psbt.h                                         | C++                     |        424 |        113 |         79 |        616 |
| /home/aya/Projects/bitcoin/src/pubkey.cpp                                     | C++                     |        239 |         30 |         77 |        346 |
| /home/aya/Projects/bitcoin/src/pubkey.h                                       | C++                     |        119 |         49 |         44 |        212 |
| /home/aya/Projects/bitcoin/src/qt/Makefile                                    | Makefile                |          9 |          0 |          1 |         10 |
| /home/aya/Projects/bitcoin/src/qt/README.md                                   | Markdown                |         58 |          0 |         38 |         96 |
| /home/aya/Projects/bitcoin/src/qt/addressbookpage.cpp                         | C++                     |        266 |         16 |         54 |        336 |
| /home/aya/Projects/bitcoin/src/qt/addressbookpage.h                           | C++                     |         56 |         14 |         17 |         87 |
| /home/aya/Projects/bitcoin/src/qt/addresstablemodel.cpp                       | C++                     |        385 |         27 |         45 |        457 |
| /home/aya/Projects/bitcoin/src/qt/addresstablemodel.h                         | C++                     |         59 |         22 |         25 |        106 |
| /home/aya/Projects/bitcoin/src/qt/askpassphrasedialog.cpp                     | C++                     |        260 |         16 |         23 |        299 |
| /home/aya/Projects/bitcoin/src/qt/askpassphrasedialog.h                       | C++                     |         37 |          5 |         15 |         57 |
| /home/aya/Projects/bitcoin/src/qt/bantablemodel.cpp                           | C++                     |        136 |         11 |         33 |        180 |
| /home/aya/Projects/bitcoin/src/qt/bantablemodel.h                             | C++                     |         52 |         10 |         18 |         80 |
| /home/aya/Projects/bitcoin/src/qt/bitcoin.cpp                                 | C++                     |        429 |        100 |         79 |        608 |
| /home/aya/Projects/bitcoin/src/qt/bitcoin.h                                   | C++                     |         82 |         21 |         23 |        126 |
| /home/aya/Projects/bitcoin/src/qt/bitcoinaddressvalidator.cpp                 | C++                     |         60 |         22 |         16 |         98 |
| /home/aya/Projects/bitcoin/src/qt/bitcoinaddressvalidator.h                   | C++                     |         18 |          8 |         10 |         36 |
| /home/aya/Projects/bitcoin/src/qt/bitcoinamountfield.cpp                      | C++                     |        269 |         19 |         55 |        343 |
| /home/aya/Projects/bitcoin/src/qt/bitcoinamountfield.h                        | C++                     |         38 |         21 |         26 |         85 |
| /home/aya/Projects/bitcoin/src/qt/bitcoingui.cpp                              | C++                     |      1,248 |         82 |        184 |      1,514 |
| /home/aya/Projects/bitcoin/src/qt/bitcoingui.h                                | C++                     |        216 |         79 |         59 |        354 |
| /home/aya/Projects/bitcoin/src/qt/bitcoinstrings.cpp                          | C++                     |        184 |          1 |          4 |        189 |
| /home/aya/Projects/bitcoin/src/qt/bitcoinunits.cpp                            | C++                     |        202 |         15 |         30 |        247 |
| /home/aya/Projects/bitcoin/src/qt/bitcoinunits.h                              | C++                     |         59 |         38 |         18 |        115 |
| /home/aya/Projects/bitcoin/src/qt/clientmodel.cpp                             | C++                     |        253 |         21 |         49 |        323 |
| /home/aya/Projects/bitcoin/src/qt/clientmodel.h                               | C++                     |         92 |         11 |         26 |        129 |
| /home/aya/Projects/bitcoin/src/qt/coincontroldialog.cpp                       | C++                     |        525 |         80 |        106 |        711 |
| /home/aya/Projects/bitcoin/src/qt/coincontroldialog.h                         | C++                     |         87 |          4 |         24 |        115 |
| /home/aya/Projects/bitcoin/src/qt/coincontroltreewidget.cpp                   | C++                     |         27 |          3 |          5 |         35 |
| /home/aya/Projects/bitcoin/src/qt/coincontroltreewidget.h                     | C++                     |         13 |          3 |          7 |         23 |
| /home/aya/Projects/bitcoin/src/qt/createwalletdialog.cpp                      | C++                     |         48 |          6 |         14 |         68 |
| /home/aya/Projects/bitcoin/src/qt/createwalletdialog.h                        | C++                     |         22 |          5 |         10 |         37 |
| /home/aya/Projects/bitcoin/src/qt/csvmodelwriter.cpp                          | C++                     |         71 |          5 |         16 |         92 |
| /home/aya/Projects/bitcoin/src/qt/csvmodelwriter.h                            | C++                     |         27 |          9 |         11 |         47 |
| /home/aya/Projects/bitcoin/src/qt/editaddressdialog.cpp                       | C++                     |        138 |          5 |         24 |        167 |
| /home/aya/Projects/bitcoin/src/qt/editaddressdialog.h                         | C++                     |         37 |          6 |         17 |         60 |
| /home/aya/Projects/bitcoin/src/qt/guiconstants.h                              | C++                     |         24 |         19 |         15 |         58 |
| /home/aya/Projects/bitcoin/src/qt/guiutil.cpp                                 | C++                     |        737 |         53 |        117 |        907 |
| /home/aya/Projects/bitcoin/src/qt/guiutil.h                                   | C++                     |        138 |         98 |         58 |        294 |
| /home/aya/Projects/bitcoin/src/qt/intro.cpp                                   | C++                     |        285 |         37 |         48 |        370 |
| /home/aya/Projects/bitcoin/src/qt/intro.h                                     | C++                     |         51 |         18 |         18 |         87 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_af.ts                        | TypeScript              |      2,154 |          0 |          0 |      2,154 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_am.ts                        | TypeScript              |        434 |          0 |          0 |        434 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_ar.ts                        | TypeScript              |      3,126 |          0 |          2 |      3,128 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_be.ts                        | TypeScript              |      1,236 |          0 |          0 |      1,236 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_bg.ts                        | TypeScript              |      2,328 |          0 |          0 |      2,328 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_bn.ts                        | TypeScript              |        186 |          0 |          0 |        186 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_bs.ts                        | TypeScript              |        274 |          0 |          0 |        274 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_ca.ts                        | TypeScript              |      3,400 |          0 |          2 |      3,402 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_cs.ts                        | TypeScript              |      3,566 |          0 |          2 |      3,568 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_cy.ts                        | TypeScript              |      1,102 |          0 |          0 |      1,102 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_da.ts                        | TypeScript              |      3,802 |          0 |          2 |      3,804 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_de.ts                        | TypeScript              |      3,812 |          0 |          2 |      3,814 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_el.ts                        | TypeScript              |      3,762 |          0 |          2 |      3,764 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_en.ts                        | TypeScript              |      4,888 |          0 |          2 |      4,890 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_en_GB.ts                     | TypeScript              |      3,810 |          0 |          2 |      3,812 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_eo.ts                        | TypeScript              |      2,028 |          0 |          0 |      2,028 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_es.ts                        | TypeScript              |      3,730 |          0 |          2 |      3,732 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_es_CL.ts                     | TypeScript              |      3,105 |          0 |          0 |      3,105 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_es_CO.ts                     | TypeScript              |      3,102 |          0 |          0 |      3,102 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_es_DO.ts                     | TypeScript              |      2,004 |          0 |          0 |      2,004 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_es_MX.ts                     | TypeScript              |      1,209 |          0 |          0 |      1,209 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_es_VE.ts                     | TypeScript              |      1,610 |          0 |          0 |      1,610 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_et.ts                        | TypeScript              |      1,972 |          0 |          0 |      1,972 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_eu.ts                        | TypeScript              |      1,224 |          0 |          0 |      1,224 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_fa.ts                        | TypeScript              |      2,769 |          0 |          2 |      2,771 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_fi.ts                        | TypeScript              |      3,602 |          0 |          2 |      3,604 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_fil.ts                       | TypeScript              |      3,498 |          0 |          2 |      3,500 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_fr.ts                        | TypeScript              |      3,810 |          0 |          2 |      3,812 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_he.ts                        | TypeScript              |      3,535 |          0 |          2 |      3,537 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_hi.ts                        | TypeScript              |        677 |          0 |          0 |        677 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_hr.ts                        | TypeScript              |      3,705 |          0 |          2 |      3,707 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_hu.ts                        | TypeScript              |      3,409 |          0 |          0 |      3,409 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_id.ts                        | TypeScript              |      3,069 |          0 |          3 |      3,072 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_is.ts                        | TypeScript              |        936 |          0 |          0 |        936 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_it.ts                        | TypeScript              |      3,811 |          0 |          2 |      3,813 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_ja.ts                        | TypeScript              |      3,759 |          0 |          2 |      3,761 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_ka.ts                        | TypeScript              |      2,154 |          0 |          0 |      2,154 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_kk.ts                        | TypeScript              |        350 |          0 |          0 |        350 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_km.ts                        | TypeScript              |        315 |          0 |          0 |        315 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_ko.ts                        | TypeScript              |      3,538 |          0 |          2 |      3,540 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_ku_IQ.ts                     | TypeScript              |        454 |          0 |          0 |        454 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_ky.ts                        | TypeScript              |        342 |          0 |          0 |        342 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_la.ts                        | TypeScript              |      1,422 |          0 |          0 |      1,422 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_lt.ts                        | TypeScript              |      3,216 |          0 |          2 |      3,218 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_lv.ts                        | TypeScript              |      1,242 |          0 |          0 |      1,242 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_mk.ts                        | TypeScript              |        604 |          0 |          0 |        604 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_ml.ts                        | TypeScript              |        331 |          0 |          0 |        331 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_mn.ts                        | TypeScript              |      1,042 |          0 |          0 |      1,042 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_mr_IN.ts                     | TypeScript              |        206 |          0 |          0 |        206 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_ms.ts                        | TypeScript              |        663 |          0 |          0 |        663 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_my.ts                        | TypeScript              |        166 |          0 |          0 |        166 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_nb.ts                        | TypeScript              |      3,408 |          0 |          0 |      3,408 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_ne.ts                        | TypeScript              |        510 |          0 |          0 |        510 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_nl.ts                        | TypeScript              |      3,811 |          0 |          2 |      3,813 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_pam.ts                       | TypeScript              |      1,338 |          0 |          0 |      1,338 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_pl.ts                        | TypeScript              |      3,697 |          0 |          2 |      3,699 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_pt.ts                        | TypeScript              |      3,812 |          0 |          2 |      3,814 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_pt_BR.ts                     | TypeScript              |      3,811 |          0 |          2 |      3,813 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_ro.ts                        | TypeScript              |      3,412 |          0 |          2 |      3,414 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_ru.ts                        | TypeScript              |      3,714 |          0 |          2 |      3,716 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_si.ts                        | TypeScript              |        310 |          0 |          0 |        310 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_sk.ts                        | TypeScript              |      3,695 |          0 |          2 |      3,697 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_sl.ts                        | TypeScript              |      3,810 |          0 |          2 |      3,812 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_sn.ts                        | TypeScript              |        346 |          0 |          0 |        346 |
| /home/aya/Projects/bitcoin/src/qt/locale/bitcoin_sq.ts                        | TypeScript              |        774 |          0 |          0 |        774 |
